p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0.001,0,0,0,1000,99.995,9.932
0.002,0,0,0,1000,99.979,19.944
0.003,0,0,0,1000,99.947,29.791
0.004,0,0,0,1000,99.839,39.895
0.005,0,0,0,1000,99.719,49.353
0.006,0,0,0,1000,99.455,59.365
0.007,0,0,0,1000,99.005,69.203
0.008,0,0,0,1000,98.376,79.587
0.009,0,0,0,1000,97.207,88.824
0.01,0,0,0,1000,95.403,99.206
0.011,0,0,0,1000,93.18,108.888
0.012,0,0,0,1000,88.074,118.723
0.013,0,0,0,1000,83.237,128.192
0.014,0,0,3,997,76.537,138.816
0.015,0,0,7,993,70.029,148.307
0.016,0,0,16,984,62.29,158.736
0.017,0,0,28,972,56.083,167.862
0.018,0,0,62,938,48.303,179.142
0.019,0,0,81,919,43.327,188.392
0.02,0,0,163,837,38.13,198.341
0.021,0,0,222,778,34.191,207.817
0.022,0,0,317,683,30.042,218.569
0.023,0,0,339,661,26.882,227.861
0.024,0,0,414,586,23.941,238.017
0.025,0,0,509,491,21.461,247.055
0.026,0,0,578,422,18.893,257.849
0.027,0,0,609,391,16.843,267.791
0.028,0,1,699,301,15.558,277.447
0.029,0,1,753,247,13.702,286.597
0.03,0,4,786,214,12.522,296.445
0.031,0,7,830,170,11.411,306.98
0.032,0,9,839,161,10.241,316.325
0.033,2,26,880,120,9.195,326.838
0.034,1,25,910,90,8.4,336.1
0.035,4,40,908,92,7.443,346.189
0.036,6,76,916,84,6.846,355.985
0.037,10,90,937,63,6.33,366.118
0.038,14,119,961,39,5.785,374.932
0.039,24,188,973,27,5.159,386.785
0.04,33,225,957,43,4.78,395.997
0.041,42,281,979,21,4.436,405.111
0.042,67,348,985,15,4.067,416.378
0.043,84,424,984,16,3.718,426.4
0.044,116,489,989,11,3.421,436.877
0.045,123,524,989,11,3.165,446.116
0.046,164,591,992,8,2.923,455.41
0.047,171,604,993,7,2.813,466.038
0.048,232,669,996,4,2.589,475.491
0.049,250,718,995,5,2.471,485.478
0.05,294,776,998,2,2.265,494.389
0.0509,331,806,997,3,2.129,502.873
0.0519,359,823,995,5,2.045,513.719
0.0529,388,841,1000,0,1.973,523.47
0.0539,445,892,999,1,1.833,533.698
0.0549,446,887,1000,0,1.797,542.632
0.0559,552,910,998,2,1.65,552.952
0.0569,572,937,999,1,1.57,563.323
0.0579,595,940,999,1,1.532,572.87
0.0589,614,949,1000,0,1.495,583.199
0.0599,676,971,1000,0,1.397,594.109
0.0609,668,966,1000,0,1.403,604.755
0.0619,687,971,1000,0,1.387,612.327
0.0629,729,967,1000,0,1.337,623.182
0.0639,743,975,1000,0,1.308,631.984
0.0649,774,989,1000,0,1.254,642.161
0.0659,802,986,999,1,1.232,651.835
0.0669,814,987,1000,0,1.214,661.46
0.0679,810,995,1000,0,1.205,671.513
0.0689,849,994,1000,0,1.167,682.116
0.0699,846,999,1000,0,1.163,692.31
0.0709,874,996,1000,0,1.136,700.697
0.0719,888,996,1000,0,1.121,711.322
0.0729,897,998,1000,0,1.109,722.542
0.0739,902,998,1000,0,1.105,731.453
0.0749,919,997,1000,0,1.085,741.391
0.0759,920,998,1000,0,1.082,751.355
0.0769,925,998,1000,0,1.078,761.477
0.0779,931,998,1000,0,1.072,773.163
0.0789,944,998,1000,0,1.058,780.129
0.0799,935,997,1000,0,1.069,788.677
0.0809,949,999,1000,0,1.052,801.348
0.0819,962,1000,1000,0,1.038,810.653
0.0829,962,1000,1000,0,1.038,820.407
0.0839,975,1000,1000,0,1.025,830.352
0.0849,967,1000,1000,0,1.034,840.012
0.0859,980,1000,1000,0,1.021,849.105
0.0869,983,1000,1000,0,1.018,860.42
0.0879,976,1000,1000,0,1.024,870.088
0.0889,984,1000,1000,0,1.016,880.486
0.0899,982,1000,1000,0,1.018,890.983
0.0909,982,1000,1000,0,1.018,900.569
0.0919,989,1000,1000,0,1.011,909.622
0.0929,982,1000,1000,0,1.018,918.835
0.0939,994,999,1000,0,1.007,930.144
0.0949,986,1000,1000,0,1.014,940.269
0.0959,990,1000,1000,0,1.01,949.081
0.0969,991,1000,1000,0,1.009,958.414
0.0979,994,1000,1000,0,1.006,970.204
0.0989,988,1000,1000,0,1.012,979.338
0.0999,991,1000,1000,0,1.009,990.863
0.1009,994,1000,1000,0,1.006,998.284
0.1019,997,1000,1000,0,1.003,1008.47
0.1029,997,1000,1000,0,1.003,1018.285
0.1039,991,1000,1000,0,1.009,1028.61
0.1049,997,1000,1000,0,1.003,1038.399
0.1059,995,1000,1000,0,1.005,1048.215
0.1069,999,1000,1000,0,1.001,1056.48
0.1079,998,1000,1000,0,1.002,1068.043
0.1089,998,1000,1000,0,1.002,1079.049
0.1099,997,1000,1000,0,1.003,1086.868
0.1109,1000,1000,1000,0,1.0,1097.841
0.1119,998,1000,1000,0,1.002,1107.636
0.1129,999,1000,1000,0,1.001,1117.999
0.1139,998,1000,1000,0,1.002,1129.211
0.1149,999,1000,1000,0,1.001,1136.563
0.1159,1000,1000,1000,0,1.0,1148.1
0.1169,999,1000,1000,0,1.001,1159.501
0.1179,1000,1000,1000,0,1.0,1167.948
0.1189,1000,1000,1000,0,1.0,1175.885
0.1199,1000,1000,1000,0,1.0,1189.303
0.1209,1000,1000,1000,0,1.0,1196.103
