p_value,strong,unilateral,weak,disconnected,scc_mean,edge_mean
0,0,0,0,1000,100,0
0.001,0,0,0,1000,99.995,9.932
0.002,0,0,0,1000,99.979,19.944
0.003,0,0,0,1000,99.947,29.791
0.004,0,0,0,1000,99.839,39.895
0.005,0,0,0,1000,99.719,49.353
0.006,0,0,0,1000,99.455,59.365
0.007,0,0,0,1000,99.005,69.203
0.008,0,0,0,1000,98.376,79.587
0.009,0,0,0,1000,97.207,88.824
0.01,0,0,0,1000,95.403,99.206
0.011,0,0,0,1000,93.18,108.888
0.012,0,0,0,1000,88.074,118.723
0.013,0,0,0,1000,83.237,128.192
0.014,0,0,3,997,76.537,138.816
0.015,0,0,7,993,70.029,148.307
0.016,0,0,16,984,62.29,158.736
0.017,0,0,28,972,56.083,167.862
0.018,0,0,62,938,48.303,179.142
0.019,0,0,81,919,43.327,188.392
0.02,0,0,163,837,38.13,198.341
0.021,0,0,222,778,34.191,207.817
0.022,0,0,317,683,30.042,218.569
0.023,0,0,339,661,26.882,227.861
0.024,0,0,414,586,23.941,238.017
0.025,0,0,509,491,21.461,247.055
0.026,0,0,578,422,18.893,257.849
0.027,0,0,609,391,16.843,267.791
0.028,0,1,699,301,15.558,277.447
0.029,0,1,753,247,13.702,286.597
0.03,0,4,786,214,12.522,296.445
0.031,0,7,830,170,11.411,306.98
0.032,0,9,839,161,10.241,316.325
0.033,2,26,880,120,9.195,326.838
0.034,1,25,910,90,8.4,336.1
0.035,4,40,908,92,7.443,346.189
0.036,6,76,916,84,6.846,355.985
0.037,10,90,937,63,6.33,366.118
0.038,14,119,961,39,5.785,374.932
0.039,24,188,973,27,5.159,386.785
0.04,33,225,957,43,4.78,395.997
0.041,42,281,979,21,4.436,405.111
0.042,67,348,985,15,4.067,416.378
0.043,84,424,984,16,3.718,426.4
0.044,116,489,989,11,3.421,436.877
0.045,123,524,989,11,3.165,446.116
0.046,164,591,992,8,2.923,455.41
0.047,171,604,993,7,2.813,466.038
