Source,Target,Weight
0,301,1
1,641,1
1,778,1
1,840,1
2,165,1
4,101,1
4,612,1
5,92,1
5,643,1
5,667,1
6,450,1
7,471,1
7,548,1
7,764,1
8,19,1
8,807,1
10,794,1
10,839,1
11,2,1
11,657,1
11,826,1
12,100,1
12,635,1
12,642,1
13,571,1
13,711,1
14,260,1
15,208,1
15,319,1
15,558,1
15,854,1
15,909,1
16,666,1
16,757,1
16,778,1
17,385,1
17,860,1
18,268,1
19,386,1
20,166,1
20,704,1
20,995,1
21,623,1
22,28,1
22,266,1
22,509,1
22,975,1
25,41,1
25,276,1
25,651,1
25,877,1
25,920,1
26,359,1
26,883,1
27,20,1
27,47,1
27,433,1
27,708,1
28,171,1
29,418,1
29,692,1
30,192,1
30,624,1
31,212,1
31,265,1
32,284,1
33,425,1
33,454,1
33,789,1
33,830,1
34,1,1
34,500,1
35,800,1
37,47,1
37,518,1
37,691,1
37,750,1
38,491,1
39,234,1
39,411,1
39,624,1
39,687,1
40,226,1
42,686,1
42,765,1
42,937,1
44,431,1
44,489,1
44,902,1
45,239,1
46,590,1
46,599,1
46,605,1
46,713,1
46,911,1
49,686,1
49,829,1
49,849,1
49,986,1
50,65,1
50,955,1
51,130,1
51,687,1
52,137,1
52,497,1
52,918,1
53,513,1
53,859,1
54,263,1
54,295,1
54,694,1
54,839,1
55,511,1
55,760,1
55,766,1
55,945,1
56,346,1
56,553,1
58,86,1
58,228,1
59,338,1
59,925,1
60,518,1
60,585,1
60,973,1
61,433,1
61,957,1
63,263,1
63,752,1
64,280,1
64,726,1
64,975,1
65,128,1
65,570,1
66,856,1
67,349,1
68,52,1
68,230,1
69,314,1
69,408,1
70,492,1
70,732,1
70,991,1
71,320,1
72,368,1
72,897,1
73,68,1
74,206,1
74,987,1
75,479,1
76,218,1
77,140,1
77,912,1
78,3,1
78,583,1
78,889,1
79,305,1
79,640,1
80,534,1
80,977,1
81,332,1
81,441,1
81,586,1
81,837,1
81,968,1
82,614,1
83,3,1
83,296,1
84,966,1
84,995,1
85,159,1
85,947,1
86,651,1
88,852,1
89,976,1
90,379,1
90,811,1
91,511,1
91,884,1
92,5,1
92,221,1
92,294,1
93,525,1
93,569,1
94,379,1
95,202,1
96,138,1
96,537,1
97,739,1
97,955,1
98,126,1
99,186,1
99,433,1
99,436,1
100,14,1
102,886,1
103,614,1
103,816,1
104,116,1
104,173,1
105,266,1
105,648,1
105,685,1
105,884,1
105,945,1
106,898,1
107,176,1
107,837,1
108,516,1
108,825,1
108,905,1
109,380,1
110,346,1
110,838,1
111,167,1
111,730,1
111,782,1
111,849,1
111,968,1
112,150,1
113,430,1
113,922,1
114,959,1
115,132,1
115,722,1
115,929,1
116,103,1
116,407,1
117,198,1
117,588,1
117,719,1
117,812,1
118,138,1
118,141,1
118,901,1
119,672,1
119,679,1
120,87,1
121,164,1
121,300,1
122,155,1
122,359,1
122,977,1
123,963,1
124,489,1
124,640,1
125,778,1
126,74,1
126,223,1
126,399,1
127,263,1
127,657,1
127,715,1
127,937,1
128,84,1
128,324,1
128,513,1
128,661,1
130,197,1
130,394,1
130,432,1
131,622,1
131,710,1
132,333,1
132,444,1
132,619,1
133,194,1
133,730,1
133,842,1
134,132,1
134,246,1
134,936,1
136,43,1
136,488,1
137,94,1
137,302,1
137,933,1
137,989,1
138,659,1
139,270,1
140,148,1
140,988,1
141,137,1
141,267,1
141,667,1
141,873,1
141,907,1
141,945,1
142,718,1
142,880,1
142,997,1
143,626,1
143,808,1
143,882,1
144,768,1
146,379,1
146,612,1
147,532,1
148,339,1
148,754,1
148,867,1
