Source,Target,Weight
1,0,1
9,8,1
13,12,1
18,17,1
19,18,1
23,21,1
23,22,1
30,13,1
30,29,1
31,30,1
38,36,1
42,40,1
42,41,1
43,10,1
43,42,1
45,44,1
46,44,1
47,43,1
49,47,1
49,48,1
54,32,1
57,56,1
63,0,1
64,63,1
66,65,1
70,69,1
73,72,1
78,77,1
79,78,1
80,76,1
82,45,1
83,56,1
87,12,1
99,98,1
102,14,1
103,73,1
104,27,1
104,31,1
109,19,1
112,63,1
112,75,1
112,100,1
114,33,1
117,108,1
123,11,1
123,86,1
126,51,1
127,37,1
129,128,1
132,3,1
133,132,1
134,1,1
134,2,1
134,3,1
134,4,1
134,5,1
134,6,1
134,7,1
134,8,1
134,9,1
134,10,1
134,11,1
134,12,1
134,13,1
134,14,1
134,15,1
134,16,1
134,18,1
134,19,1
134,20,1
134,21,1
134,23,1
134,24,1
134,25,1
134,26,1
134,27,1
134,28,1
134,29,1
134,30,1
134,31,1
134,32,1
134,33,1
134,34,1
134,35,1
134,36,1
134,37,1
134,38,1
134,39,1
134,40,1
134,41,1
134,43,1
134,45,1
134,46,1
134,47,1
134,49,1
134,50,1
134,51,1
134,52,1
134,53,1
134,54,1
134,55,1
134,56,1
134,57,1
134,58,1
134,59,1
134,60,1
134,61,1
134,62,1
134,63,1
134,64,1
134,65,1
134,66,1
134,67,1
134,68,1
134,69,1
134,70,1
134,71,1
134,73,1
134,74,1
134,75,1
134,76,1
134,78,1
134,79,1
134,80,1
134,81,1
134,82,1
134,83,1
134,84,1
134,85,1
134,86,1
134,87,1
134,88,1
134,89,1
134,90,1
134,91,1
134,92,1
134,93,1
134,94,1
134,95,1
134,96,1
134,97,1
134,99,1
134,100,1
134,101,1
134,102,1
134,103,1
134,104,1
134,105,1
134,106,1
134,107,1
134,108,1
134,109,1
134,110,1
134,111,1
134,112,1
134,113,1
134,114,1
134,115,1
134,116,1
134,117,1
134,118,1
134,119,1
134,120,1
134,121,1
134,122,1
134,123,1
134,124,1
134,125,1
134,126,1
134,127,1
134,129,1
134,130,1
134,131,1
134,133,1
135,134,1
136,74,1
136,134,1
138,76,1
138,134,1
138,137,1
139,11,1
139,134,1
140,134,1
141,140,1
142,62,1
142,111,1
142,134,1
143,134,1
143,142,1
144,143,1
145,134,1
146,123,1
147,97,1
147,134,1
148,134,1
149,134,1
150,145,1
151,64,1
151,134,1
151,149,1
151,150,1
152,134,1
153,134,1
154,134,1
155,134,1
156,134,1
158,134,1
158,157,1
159,133,1
159,134,1
160,134,1
161,134,1
162,75,1
162,134,1
162,161,1
163,160,1
163,162,1
164,16,1
164,134,1
166,134,1
167,134,1
168,165,1
169,134,1
169,162,1
170,134,1
171,134,1
172,73,1
172,134,1
173,134,1
173,171,1
173,172,1
174,134,1
175,134,1
176,134,1
177,134,1
178,134,1
178,176,1
178,177,1
179,20,1
179,134,1
180,134,1
180,179,1
181,180,1
182,134,1
183,134,1
185,134,1
186,134,1
187,134,1
188,134,1
188,152,1
189,134,1
190,134,1
191,134,1
193,134,1
193,192,1
194,134,1
196,134,1
197,134,1
198,69,1
198,134,1
199,134,1
200,134,1
201,134,1
202,134,1
202,201,1
203,134,1
203,202,1
204,134,1
205,67,1
205,134,1
206,134,1
206,158,1
206,201,1
207,88,1
208,121,1
210,134,1
211,91,1
211,134,1
212,27,1
212,134,1
213,134,1
215,134,1
215,153,1
216,15,1
216,30,1
216,134,1
216,194,1
216,215,1
218,134,1
218,193,1
218,217,1
219,134,1
221,119,1
221,134,1
221,220,1
222,134,1
223,134,1
224,134,1
225,134,1
226,134,1
227,127,1
227,134,1
228,132,1
228,134,1
229,134,1
230,134,1
232,134,1
233,103,1
233,114,1
234,30,1
235,134,1
235,178,1
235,232,1
236,134,1
237,35,1
237,134,1
237,217,1
237,236,1
238,134,1
239,134,1
240,239,1
241,134,1
242,134,1
243,134,1
244,114,1
244,134,1
245,134,1
246,134,1
246,185,1
247,246,1
248,114,1
248,134,1
248,247,1
249,134,1
249,138,1
250,134,1
251,134,1
252,134,1
252,249,1
252,250,1
252,251,1
253,234,1
255,134,1
256,134,1
256,255,1
258,134,1
259,47,1
259,134,1
260,40,1
260,123,1
260,134,1
261,139,1
264,17,1
265,134,1
265,154,1
266,110,1
267,134,1
267,251,1
268,84,1
269,86,1
270,134,1
271,27,1
271,134,1
272,42,1
272,134,1
273,110,1
273,134,1
274,107,1
274,134,1
275,134,1
276,22,1
276,134,1
277,134,1
278,134,1
280,65,1
281,17,1
281,104,1
281,133,1
282,134,1
282,281,1
283,166,1
284,134,1
285,227,1
287,36,1
287,134,1
287,250,1
287,253,1
288,134,1
288,143,1
288,175,1
289,134,1
290,156,1
291,134,1
291,254,1
291,290,1
292,22,1
292,134,1
292,216,1
293,134,1
293,146,1
294,114,1
294,134,1
295,134,1
296,29,1
296,263,1
298,49,1
299,24,1
299,153,1
299,206,1
299,225,1
300,299,1
301,134,1
302,99,1
302,134,1
302,257,1
303,134,1
304,134,1
304,279,1
305,46,1
305,134,1
306,134,1
307,134,1
308,134,1
308,186,1
309,28,1
309,86,1
309,134,1
310,85,1
310,134,1
312,134,1
313,134,1
314,134,1
314,194,1
314,218,1
314,300,1
314,313,1
315,24,1
316,120,1
316,134,1
318,134,1
319,134,1
321,134,1
322,134,1
324,134,1
325,134,1
326,134,1
327,134,1
328,134,1
328,327,1
330,140,1
331,134,1
332,6,1
333,134,1
333,196,1
334,134,1
335,134,1
335,232,1
336,134,1
339,99,1
339,134,1
340,134,1
341,134,1
342,134,1
343,134,1
